sampleId	country	city	lat	long	Continental_clusters
RU_Val_16_20	Russia	Valday	58.02444	33.235277	3.Europe_E
RU_Val_16_21	Russia	Valday	58.02444	33.235277	3.Europe_E
RU_tul_15_37	Russia	tula	53.99778	38.13167	3.Europe_E
RU_val_15_36	Russia	valday	58.024	33.23528	3.Europe_E
RU_val_15_38	Russia	valday	58.024	33.23528	3.Europe_E
SE_Lun_14_30	Sweden	Lund	55.694	13.198	1.Europe_W
SE_Lun_15_14	Sweden	Lund	55.694	13.198	1.Europe_W
SE_Lun_15_15	Sweden	Lund	55.694	13.198	1.Europe_W
TR_Yes_14_03	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_14_04	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_3	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_4	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_5	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_6	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_7	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_15_8	Turkey	Yesiloz	40.231444	32.260328	1.Europe_W
TR_Yes_16_39	Turkey	Yesiloz TR13	40.231444	32.260328	1.Europe_W
TR_Yes_16_40	Turkey	Yesiloz TR14	40.231444	32.260328	1.Europe_W
TR_Yes_16_41	Turkey	Yesiloz TR15	40.231444	32.260328	1.Europe_W
TR_Yes_16_42	Turkey	Yesiloz TR16	40.231444	32.260328	1.Europe_W
TR_Yes_16_43	Turkey	Yesiloz TR17	40.231444	32.260328	1.Europe_W
TR_Yes_16_52	Turkey	Yesiloz TR18	40.231444	32.260328	1.Europe_W
UA_Che_14_28	Ukraine	Chornobyl (Cooling pond)	51.37330556	30.13830556	3.Europe_E
UA_Che_14_29	Ukraine	Chornobyl Yaniv	51.38691667	30.07330556	3.Europe_E
UA_Che_14_47	Ukraine	Chornobyl Applegarden	51.27263889	30.22136111	3.Europe_E
UA_Che_14_48	Ukraine	Chornobyl Polisske	51.27888889	29.39438889	3.Europe_E
UA_Cho_15_24	Ukraine	Chornobyl Applegarden	51.279245	30.213118	3.Europe_E
UA_Cho_15_25	Ukraine	Chornobyl Applegarden	51.279245	30.213118	3.Europe_E
UA_Cho_15_26	Ukraine	Chornobyl Kopachi	51.3352	30.136179	3.Europe_E
UA_Cho_15_27	Ukraine	Chornobyl Yaniv	51.38691667	30.07330556	3.Europe_E
UA_Cho_15_65	Ukraine	Chornobyl (Cooling pond)	51.37330556	30.13830556	3.Europe_E
UA_Cho_15_67	Ukraine	Chornobyl Applegarden	51.279245	30.213118	3.Europe_E
UA_Cho_15_68	Ukraine	Chornobyl Polisske	51.27888889	29.39438889	3.Europe_E
UA_Cho_15_69	Ukraine	Chornobyl Applegarden	51.27263889	30.22136111	3.Europe_E
UA_Cho_15_70	Ukraine	Chornobyl Applegarden	51.279245	30.213118	3.Europe_E
UA_Cho_16_54	Ukraine	Chornobyl Applegarden	51.27	30.21	3.Europe_E
UA_Cho_16_55	Ukraine	Chornobyl (Cooling pond)	51.37	30.13	3.Europe_E
UA_Cho_16_62	Ukraine	Chornobyl Yaniv	51.38691667	30.07330556	3.Europe_E
UA_Dro_14_27	Ukraine	Drogobych	49.32991667	23.50280556	3.Europe_E
UA_Dro_15_10	Ukraine	Drogobych	49.32991667	23.50280556	3.Europe_E
UA_Dro_16_56	Ukraine	Drogobych	49.32991667	23.50280556	3.Europe_E
UA_Kan_16_57	Ukraine	Kaniv	49.72	31.53	3.Europe_E
UA_Kha_14_45	Ukraine	Kharkiv	49.81852778	36.05475	3.Europe_E
UA_Kha_14_46	Ukraine	Kharkiv	49.81852778	36.05475	3.Europe_E
UA_Kha_15_19	Ukraine	Kharkiv	49.81852778	36.05475	3.Europe_E
UA_Kha_16_58	Ukraine	Kharkiv	49.81852778	36.05475	3.Europe_E
UA_Kyi_14_23	Ukraine	Kyiv	50.34402778	30.48911111	3.Europe_E
UA_Kyi_14_24	Ukraine	Kyiv	50.34402778	30.48911111	3.Europe_E
UA_Kyi_14_49	Ukraine	Kyiv	50.34402778	30.48911111	3.Europe_E
UA_Kyi_15_64	Ukraine	Kyiv (Vyshneve)	50.383374	30.368038	3.Europe_E
UA_Kyi_16_44	Ukraine	Kyiv (Vyshneve)	50.3834	30.3682	3.Europe_E
UA_Kyi_16_45	Ukraine	Kyiv (Vyshneve)	50.38	30.36	3.Europe_E
UA_Kyi_16_59	Ukraine	Kyiv (Vyshneve)	50.38	30.36	3.Europe_E
UA_Ode_14_19	Ukraine	Odesa	46.44155556	30.77169444	3.Europe_E
UA_Ode_14_20	Ukraine	Odesa	46.44155556	30.77169444	3.Europe_E
UA_Ode_14_21	Ukraine	Odesa	46.44155556	30.77169444	3.Europe_E
UA_Ode_14_22	Ukraine	Odesa	46.44155556	30.77169444	3.Europe_E
UA_Ode_15_11	Ukraine	Odessa	46.44155556	30.77169444	3.Europe_E
UA_Ode_15_20	Ukraine	Odessa	46.44155556	30.77169444	3.Europe_E
UA_Ode_15_22	Ukraine	Odessa	46.44155556	30.77169444	3.Europe_E
UA_Ode_15_66	Ukraine	Odessa	46.44155556	30.77169444	3.Europe_E
UA_Ode_16_46	Ukraine	Odesa	46.44	30.77	3.Europe_E
UA_Ode_16_47	Ukraine	Odesa	46.44155556	30.77169444	3.Europe_E
UA_Pir_14_26	Ukraine	Piryuatin	50.25375	32.51880556	3.Europe_E
UA_Pir_15_21	Ukraine	Piryuatin	50.25375	32.51880556	3.Europe_E
UA_Pyr_16_48	Ukraine	Pyriatyn	51.4	30.05416645	3.Europe_E
UA_Pyr_16_49	Ukraine	Pyryatyn	50.53752	32.51880556	3.Europe_E
UA_Uma_14_50	Ukraine	Uman	48.75327778	30.20580556	3.Europe_E
UA_Uma_15_9	Ukraine	Uman'	48.75327778	30.20580556	3.Europe_E
UA_Uma_16_50	Ukraine	Uman	48.75	30.2	3.Europe_E
UA_Uma_16_51	Ukraine	Uman K	48.76	30.17	3.Europe_E
UA_Var_14_25	Ukraine	Varva	50.48469444	32.71425	3.Europe_E
UA_Var_15_18	Ukraine	Varva	50.48469444	32.71425	3.Europe_E
UA_Var_16_60	Ukraine	Varva	50.48469444	32.71425	3.Europe_E
UA_Yal_14_16	Ukraine	Yalta	44.5015	34.16611944	3.Europe_E
UA_Yal_14_18	Ukraine	Yalta	44.5015	34.16611944	3.Europe_E
UA_Yal_15_23	Ukraine	Yalta	44.5015	34.16611944	3.Europe_E
UA_Yal_15_63	Ukraine	Yalta	44.5015	34.16611944	3.Europe_E
UA_Yal_16_61	Ukraine	Yalta	44.5015	34.1661	3.Europe_E
UK_Dai_15_52	United Kingdom	Dairsie. Fife	56.344534	-2.952766	1.Europe_W
UK_Dai_16_23	United Kingdom	Dairsie. Fife	56.3447	-2.9525	1.Europe_W
UK_Lut_14_13	United Kingdom	Lutterworth	52.433592	-1.102667	1.Europe_W
UK_Mar_14_12	United Kingdom	Market Harborough	52.475769	-0.921517	1.Europe_W
UK_Mar_15_42	United Kingdom	Market Harborough	52.4608	-0.959	1.Europe_W
UK_Mar_16_53	United Kingdom	Market Harborough	52.46	-0.959	1.Europe_W
UK_She_14_09	United Kingdom	Sheffield	53.39052	-1.520599	1.Europe_W
UK_She_15_17	United Kingdom	Sheffield	53.391	-1.521	1.Europe_W
UK_Sou_14_10	United Kingdom	South Queensferry	55.972871	-3.351475	1.Europe_W
ES_ba_12_spring	Spain	Barcelona	41.38	2.17	NA
ES_ba_12_fall	Spain	Barcelona	41.38	2.17	NA
FL_ho_10_spring	USA	Homestead	25.5	-80.477	2.North_America
FL_ho_10_fall	USA	Homestead	25.5	-80.477	2.North_America
GA_ha_08_spring	USA	Hahia	30.99	-83.37	2.North_America
MA_la_12_spring	USA	Lancaster	42.45	-71.67	2.North_America
MA_la_12_fall	USA	Lancaster	42.45	-71.67	2.North_America
ME_bo_09_fall.r1	USA	Bowdoin	44	-69.96	2.North_America
ME_bo_09_fall.r2	USA	Bowdoin	44	-69.96	2.North_America
NC_ra_03_n	USA	Raleigh	35.77	-78.63	2.North_America
NY_it_12_spring	USA	Ithaca	42.44	-76.5	2.North_America
NY_it_12_fall	USA	Ithaca	42.44	-76.5	2.North_America
PA_li_12_spring	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_11_fall	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_12_fall	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_09_fall	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_10_fall	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_11_frost	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_09_spring	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_10_spring	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_11_spring	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_12_sum	USA	Linvilla	39.88	-75.41	2.North_America
SC_eu_10_spring	USA	Eutawville	33.39	-80.34	2.North_America
VA_ch_12_spring	USA	Charlottesville	38	-78.47	2.North_America
VA_ch_12_fall	USA	Charlottesville	38	-78.47	2.North_America
AT_gr_12_spring	Austria	Gross-Enzersdorf	48.2	16.37	NA
AT_gr_12_fall	Austria	Gross-Enzersdorf	48.2	16.37	NA
WI_cp_12_spring	USA	Cross Plains	43.11	-89.65	2.North_America
WI_cp_12_fall	USA	Cross Plains	43.11	-89.65	2.North_America
WI_cp_12_frost	USA	Cross Plains	43.11	-89.65	2.North_America
CA_es_12_spring	USA	Esparto	38.68	-122.046	2.North_America
WI_cp_13_spring	USA	Cross Plains	43.11	-89.65	2.North_America
WI_cp_13_fall	USA	Cross Plains	43.11	-89.65	2.North_America
PA_li_13_spring	USA	Linvilla	39.88	-75.41	2.North_America
UA_od_13_fall	Ukraine	Odessa	46.49	30.71	3.Europe_E
UA_od_13_spring	Ukraine	Odessa	46.49	30.71	3.Europe_E
CA_es_12_fall	USA	Esparto	38.68	-122.046	2.North_America
CA_pl_12_fall	USA	Placerville	38.74	-120.74	2.North_America
GA_at_14_fall	USA	Athens	33.95	-83.36	2.North_America
GA_at_14_spring	USA	Athens	33.95	-83.36	2.North_America
MI_bh_14_fall	USA	Benton Harbor	42.1111	-86.4483	2.North_America
MI_bh_14_spring	USA	Benton Harbor	42.1111	-86.4483	2.North_America
VA_ch_14_fall	USA	Charlotttesville	38	-78.47	2.North_America
VA_ch_14_spring	USA	Charlotttesville	38	-78.47	2.North_America
WI_cp_14_spring	USA	Cross Plains	43.11	-89.65	2.North_America
WI_cp_14_fall	USA	Cross Plains	43.11	-89.65	2.North_America
MA_la_14_fall	USA	Lancaster	42.45	-71.67	2.North_America
MA_la_14_spring	USA	Lancaster	42.45	-71.67	2.North_America
PA_li_14_fall	USA	Linvilla	39.88	-75.41	2.North_America
PA_li_14_spring	USA	Linvilla	39.88	-75.41	2.North_America
PA_st_14_fall	USA	State College	40.793395	-77.860001	2.North_America
PA_st_14_spring	USA	State College	40.793395	-77.860001	2.North_America
KA_to_14_fall	USA	Topeka	39.202831	-95.741527	2.North_America
KA_to_14_spring	USA	Topeka	39.0913433	-95.6246509	2.North_America
