"auto","sampleId","propSimNorm"
FALSE,"FR_Got_15_49",0.00911210907545739
TRUE,"FR_Got_15_49",0.00370334522314404
FALSE,"FR_Got_16_8",0.00991137701774128
TRUE,"FR_Got_16_8",0.00479991229634748
FALSE,"FR_Vil_14_05",0.0104646992666487
TRUE,"FR_Vil_14_05",0.00554404960925519
FALSE,"FR_Vil_14_07",0.0687836034667082
TRUE,"FR_Vil_14_07",0.0636727395451188
FALSE,"FR_Vil_15_40",0.0102581541437715
TRUE,"FR_Vil_15_40",0.00406814228459817
FALSE,"FR_Vil_15_41",0.00937405063910917
TRUE,"FR_Vil_15_41",0.00353472267186005
FALSE,"FR_Vil_16_9",0.00950595482792485
TRUE,"FR_Vil_16_9",0.00359044488672841
FALSE,"GS_Des_15_1",0.01061774571905
TRUE,"GS_Des_15_1",0.00392983861091662
FALSE,"GS_Sai_15_2",0.0103762333122284
TRUE,"GS_Sai_15_2",0.00384395376795032
FALSE,"HU_Sze_16_14",0.0373335450815557
TRUE,"HU_Sze_16_14",0.0323952134326607
FALSE,"IT_Mez_15_43",0.318975026061153
TRUE,"IT_Mez_15_43",0.31251878473546
FALSE,"IT_Mez_15_44",0.621611938702175
TRUE,"IT_Mez_15_44",0.619422822016692
FALSE,"IT_Tre_16_15",0.412356196388269
TRUE,"IT_Tre_16_15",0.415257055589559
FALSE,"PO_Brz_15_12",0.00990774128035297
TRUE,"PO_Brz_15_12",0.00397701828216181
FALSE,"PO_Brz_16_17",0.00929867167539826
TRUE,"PO_Brz_16_17",0.00377050648488235
FALSE,"PO_Gda_16_16",0.00941233095495005
TRUE,"PO_Gda_16_16",0.00399035049723476
FALSE,"PT_Rec_14_33",0.0307816330299378
TRUE,"PT_Rec_14_33",0.0252732885235013
FALSE,"PT_Rec_15_16",0.639893894039496
TRUE,"PT_Rec_15_16",0.639584706807883
FALSE,"PT_Rec_16_18",0.137062323890589
TRUE,"PT_Rec_16_18",0.126243021344562
FALSE,"RS_Kal_16_28",0.00907216486084639
TRUE,"RS_Kal_16_28",0.0038468854582087
FALSE,"RS_Kal_16_29",0.00974249495674076
TRUE,"RS_Kal_16_29",0.00448878853744744
FALSE,"RS_Sla_16_30",0.00914190164382228
TRUE,"RS_Sla_16_30",0.00382911950614155
FALSE,"RS_Sla_16_31",0.00932104242618796
TRUE,"RS_Sla_16_31",0.00416122679993996
FALSE,"RU_Ale_15_55",0.00927027032811581
TRUE,"RU_Ale_15_55",0.00355994022978083
FALSE,"RU_Ale_16_22",0.00942357889785821
TRUE,"RU_Ale_16_22",0.00394827978605194
FALSE,"RU_Val_14_51",0.0102714230617917
TRUE,"RU_Val_14_51",0.00706437152100205
FALSE,"RU_Val_16_19",0.0093868022073608
TRUE,"RU_Val_16_19",0.00406851948780907
FALSE,"RU_Val_16_20",0.00928777505938621
