sampleId,year,yday,exactDate,locality,lat,long,continent,country,city,type,set,nFlies
EA,2011,349,FALSE,EA,8.25,34.59,Africa,Ethiopia,Gambella,inbred_line,dgn,20
EB,2011,349,FALSE,EB,7.26,36.25,Africa,Ethiopia,Bonga,haploid_embryo,dgn,5
ED,2008,350,FALSE,ED,6.98,39.18,Africa,Ethiopia,Dodola,haploid_embryo,dgn,5
EF,2011,349,FALSE,EF,9.81,38.63,Africa,Ethiopia,Fiche,inbred_line,dgn,63
EG,2011,15,FALSE,EG,30.1,31.32,Africa,Egypt,Cairo,inbred_line,dgn,29
ER,2011,349,FALSE,ER,9.68,39.53,Africa,Ethiopia,Debre Birhan,haploid_embryo,dgn,5
ES_Ben_16_32,2016,282,TRUE,ES_Ben,37.353733,-3.167179,Europe,Spain,Benalua,pooled,DrosEU,40
ES_Cor_15_33,2015,220,TRUE,ES_Cor,37.661547,-2.79631,Europe,Spain,Cortes de Baza,pooled,DrosEU,40
ES_Gim_14_34,2014,293,TRUE,ES_Gim,41.6175899,0.6200146,Europe,Spain,Gimenells,pooled,DrosEU,40
ES_Gim_14_35,2014,225,TRUE,ES_Gim,41.6175899,0.6200146,Europe,Spain,Gimenells,pooled,DrosEU,40
ES_Gim_15_30,2015,179,TRUE,ES_Gim,41.656416,0.388472,Europe,Spain,Gimenells,pooled,DrosEU,40
ES_Gim_15_31,2015,295,TRUE,ES_Gim,41.656416,0.388472,Europe,Spain,Gimenells,pooled,DrosEU,40
ES_Gim_16_33,2016,238,TRUE,ES_Gim,41.656416,0.388472,Europe,Spain,Gimenells,pooled,DrosEU,40
ES_Gim_16_34,2016,295,TRUE,ES_Gim,41.656416,0.388472,Europe,Spain,Gimenells,pooled,DrosEU,40
ES_Gua_15_32,2015,255,TRUE,ES_Gua,37.3308,-3.173416,Europe,Spain,Guadix,pooled,DrosEU,40
ES_Pur_16_35,2016,243,TRUE,ES_Pur,37.3377875,-3.1786148,Europe,Spain,Purullena,pooled,DrosEU,40
ES_Tom_15_28,2015,281,TRUE,ES_Tom,39.15805,-3.021,Europe,Spain,Tomelloso,pooled,DrosEU,40
ES_Tom_15_29,2015,260,TRUE,ES_Tom,39.15805,-3.021,Europe,Spain,Tomelloso,pooled,DrosEU,40
ES_Tom_16_36,2016,246,TRUE,ES_Tom,39.152529,-3.0616048,Europe,Spain,Tomelloso,pooled,DrosEU,40
ES_Tom_16_37,2016,285,TRUE,ES_Tom,39.152529,-3.0616048,Europe,Spain,Tomelloso,pooled,DrosEU,40
ES_ba_12_fall,2012,289,FALSE,ES_ba,41.38,2.17,Europe,Spain,Barcelona,pooled,DrosRTEC,29
ES_ba_12_spring,2012,195,TRUE,ES_ba,41.38,2.17,Europe,Spain,Barcelona,pooled,DrosRTEC,55
FI_Aka_14_36,2014,206,TRUE,FI_Aka,61.1,23.52,Europe,Finland,Akaa,pooled,DrosEU,40
FI_Aka_14_37,2014,239,TRUE,FI_Aka,61.1,23.52,Europe,Finland,Akaa,pooled,DrosEU,40
FI_Aka_15_34,2015,274,TRUE,FI_Aka,61.1,23.52,Europe,Finland,Akaa,pooled,DrosEU,40
FI_Aka_15_35,2015,202,TRUE,FI_Aka,61.1,23.52,Europe,Finland,Akaa,pooled,DrosEU,40
FI_Aka_16_5,2016,206,TRUE,FI_Aka,61.1,23.52,Europe,Finland,Akaa,pooled,DrosEU,40
FI_Aka_16_6,2016,261,TRUE,FI_Aka,61.1,23.52,Europe,Finland,Akaa,pooled,DrosEU,40
FI_Ves_14_38,2014,207,TRUE,FI_Ves,62.55,26.24,Europe,Finland,Vesanto,pooled,DrosEU,33
FI_Ves_16_7,2016,211,TRUE,FI_Ves,62.55,26.24,Europe,Finland,Vesanto,pooled,DrosEU,40
FL_ho_10_fall,2010,349,TRUE,FL_ho,25.5,-80.477,North_America,USA,Homestead,pooled,DrosRTEC,48
FL_ho_10_spring,2010,196,FALSE,FL_ho,25.5,-80.477,North_America,USA,Homestead,pooled,DrosRTEC,39
FR,2010,196,FALSE,FR,45.77,4.86,Europe,France,Lyon,inbred_line,dgn,87
FR_Got_14_08,2014,189,TRUE,FR_Got,44.976813,4.930005,Europe,France,Gotheron,pooled,DrosEU,40
FR_Got_15_47,2015,141,TRUE,FR_Got,44.977,4.93,Europe,France,Gotheron,pooled,DrosEU,40
FR_Got_15_48,2015,252,TRUE,FR_Got,44.977,4.93,Europe,France,Gotheron,pooled,DrosEU,40
FR_Got_15_49,2015,286,TRUE,FR_Got,44.977,4.93,Europe,France,Gotheron,pooled,DrosEU,40
FR_Got_16_8,2016,165,TRUE,FR_Got,44.976813,4.930005,Europe,France,Gotheron,pooled,DrosEU,40
FR_Vil_14_05,2014,230,TRUE,FR_Vil,48.7543324,2.1584108,Europe,France,Viltain,pooled,DrosEU,40
FR_Vil_14_07,2014,300,TRUE,FR_Vil,48.7543324,2.1584108,Europe,France,Viltain,pooled,DrosEU,40
FR_Vil_15_40,2015,222,TRUE,FR_Vil,48.754,2.158,Europe,France,Viltain,pooled,DrosEU,40
FR_Vil_15_41,2015,287,TRUE,FR_Vil,48.754,2.158,Europe,France,Viltain,pooled,DrosEU,40
FR_Vil_16_9,2016,225,TRUE,FR_Vil,48.7543324,2.1584108,Europe,France,Viltain,pooled,DrosEU,40
GA,2002,74,FALSE,GA,-1.65,13.6,Africa,Gabon,Franceville,haploid_embryo,dgn,9
GA_at_14_fall,2014,288,FALSE,GA_at,33.95,-83.36,North_America,USA,Athens,pooled,DrosRTEC,99
GA_at_14_spring,2014,166,FALSE,GA_at,33.95,-83.36,North_America,USA,Athens,pooled,DrosRTEC,44
GA_ha_08_spring,2008,197,FALSE,GA_ha,30.99,-83.37,North_America,USA,Hahia,pooled,DrosRTEC,51
GS_Des_15_1,2015,350,TRUE,GS_Des,16.32,-61.78,North_America,Guadeloupe,Deshaies,pooled,DrosEU,40
GS_Sai_15_2,2015,357,TRUE,GS_Sai,16.25,-61.28,North_America,Guadeloupe,Saint Francois,pooled,DrosEU,40
GU,2005,166,FALSE,GU,10.7,-12.25,Africa,Guinea,Donde,haploid_embryo,dgn,5
HU_Sze_16_14,2016,241,TRUE,HU_Sze,46.25,20.13,Europe,Hungary,Szeged,pooled,DrosEU,40
I,2004,167,FALSE,I,42.35,-76.57,North_America,United States,Ithaca NY,inbred_line,dgn,19
IL_ur_15_spring,2015,192,TRUE,IL_ur,40.11,-88.21,North_America,USA,Urbana,pooled,DrosRTEC,184
IT_Mez_15_43,2015,272,TRUE,IT_Mez,46.212856,11.08755,Europe,Italy,Mezzocorona,pooled,DrosEU,40
IT_Mez_15_44,2015,283,TRUE,IT_Mez,46.217939,11.123423,Europe,Italy,Mezzolombardo,pooled,DrosEU,40
IT_Tre_16_15,2016,237,TRUE,IT_Tre,46.2,11.13333,Europe,Italy,Trentino (San Michele a/A),pooled,DrosEU,40
KA_to_14_fall,2014,295,TRUE,KA_to,39.202831,-95.741527,North_America,USA,Topeka,pooled,DrosRTEC,48
KA_to_14_spring,2014,173,TRUE,KA_to,39.0913433,-95.6246509,North_America,USA,Topeka,pooled,DrosRTEC,72
KN,2009,15,FALSE,KN,0.04,36.36,Africa,Kenya,Nyahururu,haploid_embryo,dgn,5
MA_la_12_fall,2012,276,TRUE,MA_la,42.45,-71.67,North_America,USA,Lancaster,pooled,DrosRTEC,63
MA_la_12_spring,2012,210,TRUE,MA_la,42.45,-71.67,North_America,USA,Lancaster,pooled,DrosRTEC,100
MA_la_14_fall,2014,293,TRUE,MA_la,42.45,-71.67,North_America,USA,Lancaster,pooled,DrosRTEC,90
MA_la_14_spring,2014,201,TRUE,MA_la,42.45,-71.67,North_America,USA,Lancaster,pooled,DrosRTEC,32
ME_bo_09_fall.r1,2009,288,TRUE,ME_bo,44,-69.96,North_America,USA,Bowdoin,pooled,DrosRTEC,86
ME_bo_09_fall.r2,2009,288,TRUE,ME_bo,44,-69.96,North_America,USA,Bowdoin,pooled,DrosRTEC,75
MI_bh_14_fall,2014,309,TRUE,MI_bh,42.1111,-86.4483,North_America,USA,Benton Harbor,pooled,DrosRTEC,34
MI_bh_14_spring,2014,207,TRUE,MI_bh,42.1111,-86.4483,North_America,USA,Benton Harbor,pooled,DrosRTEC,106
N,1998,166,FALSE,N,52.02,5.1,Europe,Netherlands,Houten,inbred_line,dgn,19
NC_ra_03_n,2003,166,FALSE,NC_ra,35.77,-78.63,North_America,USA,Raleigh,pooled,DrosRTEC,92
NG,2004,259,FALSE,NG,11.85,13.16,Africa,Nigeria,Maiduguri,haploid_embryo,dgn,6
NY_it_12_fall,2012,267,TRUE,NY_it,42.44,-76.5,North_America,USA,Ithaca,pooled,DrosRTEC,58
